car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,1.317500992,103.8873633,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,1.31654978,103.8875653,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
GMLM,BLK 24 GHIM MOH LINK,1.308728312,103.7858206,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
GM1A,BLK 2A GHIM MOH ROAD,1.312613639,103.7869257,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
GM1B,BLK 5A GHIM MOH RD,1.312921701,103.7882569,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
GM1M,31A GHIM MOH LINK,1.309354432,103.7843689,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
GM2,BLK 7/8/9 GHIM MOH ROAD,1.311601403,103.7881601,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
GM2A,BLK 8A GHIM MOH RD,1.310871041,103.7872643,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,0.6,0.6
GM3,BLK 19/20 GHIM MOH ROAD,1.311155905,103.7888531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GM5,BLK 21 GHIM MOH ROAD,1.310381853,103.7885108,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,0.6,0.6
